Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","004","Afghanistan","031","Azerbaijan","5610","Import quantity","0111","Wheat","2009","2009","t","88","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","124","Canada","5610","Import quantity","0111","Wheat","2010","2010","t","80","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","124","Canada","5610","Import quantity","0111","Wheat","2011","2011","t","2933","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","156","China, mainland","5610","Import quantity","0111","Wheat","2009","2009","t","263","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","156","China, mainland","5610","Import quantity","0111","Wheat","2010","2010","t","166","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","156","China, mainland","5610","Import quantity","0111","Wheat","2011","2011","t","21476","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","356","India","5610","Import quantity","0111","Wheat","2010","2010","t","365","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","360","Indonesia","5610","Import quantity","0111","Wheat","2010","2010","t","435","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","364","Iran (Islamic Republic of)","5610","Import quantity","0111","Wheat","2009","2009","t","2352","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","364","Iran (Islamic Republic of)","5610","Import quantity","0111","Wheat","2010","2010","t","21830","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","364","Iran (Islamic Republic of)","5610","Import quantity","0111","Wheat","2011","2011","t","2964","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","392","Japan","5610","Import quantity","0111","Wheat","2009","2009","t","617","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","392","Japan","5610","Import quantity","0111","Wheat","2010","2010","t","533","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","392","Japan","5610","Import quantity","0111","Wheat","2011","2011","t","1824","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","398","Kazakhstan","5610","Import quantity","0111","Wheat","2009","2009","t","854198","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","398","Kazakhstan","5610","Import quantity","0111","Wheat","2010","2010","t","646456","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","398","Kazakhstan","5610","Import quantity","0111","Wheat","2011","2011","t","466090","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","398","Kazakhstan","5610","Import quantity","0111","Wheat","2017","2017","t","321106","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","398","Kazakhstan","5610","Import quantity","0111","Wheat","2019","2019","t","288129","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","458","Malaysia","5610","Import quantity","0111","Wheat","2011","2011","t","149","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","528","Netherlands (Kingdom of the)","5610","Import quantity","0111","Wheat","2019","2019","t","5.28","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","586","Pakistan","5610","Import quantity","0111","Wheat","2009","2009","t","3673","A","Official value"
"TM","Detailed trade matrix","004","Afghanistan","586","Pakistan","5610","Import quantity","0111","Wheat","2010","2010","t","65275","A","Official value"
