Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1989","1989","t","1100","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1990","1990","t","2300","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","5000","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1997","1997","t","2309","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2000","2000","t","20124","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","2925","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2010","2010","t","158","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1990","1990","t","1840","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","200","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1993","1993","t","993","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","22022","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","5000","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1997","1997","t","3356","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1998","1998","t","2500","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","7800","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","29999","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","519","X","Value from external organization"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2003","2003","t","1020","A","Official value"
"TM","Detailed trade matrix","124","Canada","004","Afghanistan","5910","Export quantity","0111","Wheat","2005","2005","t","2001","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2002","2002","t","3","A","Official value"
"TM","Detailed trade matrix","156","China, mainland","004","Afghanistan","5910","Export quantity","0111","Wheat","2008","2008","t","4380","A","Official value"
