Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2014","2014","t","717.86","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2016","2016","t","72.55","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0113","Rice","2016","2016","t","64.74","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2018","2018","t","739","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2020","2020","t","103.17","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2021","2021","t","75","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2022","2022","t","17.17","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2023","2023","t","769.81","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0113","Rice","2023","2023","t","0.05","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0113","Rice","2024","2024","t","40407.43","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","0113","Rice","2024","2024","t","1.5","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1961","1961","t","32400","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1962","1962","t","6800","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1963","1963","t","79900","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1964","1964","t","106092","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1965","1965","t","107000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1966","1966","t","118838","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1967","1967","t","140082","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1968","1968","t","60000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1969","1969","t","87800","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1970","1970","t","30000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1971","1971","t","185000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1972","1972","t","170000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1973","1973","t","18000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1974","1974","t","5000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1975","1975","t","12500","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1976","1976","t","9000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1977","1977","t","45359","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1978","1978","t","50000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1979","1979","t","150000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1980","1980","t","3600","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1981","1981","t","78500","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1982","1982","t","72900","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1983","1983","t","69503","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1984","1984","t","21150","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1985","1985","t","51062","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1986","1986","t","57146","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1987","1987","t","220000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1988","1988","t","205000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1989","1989","t","210000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1990","1990","t","200000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1991","1991","t","122000","A","Official value",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1992","1992","t","70000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1993","1993","t","170000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1994","1994","t","65500","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1995","1995","t","101000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1996","1996","t","120000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1997","1997","t","140000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1998","1998","t","70000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","1999","1999","t","165000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2000","2000","t","783000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","0111","Wheat","2001","2001","t","720000","X","Value from external organization","Estimated data using trading partners database"
