Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1961","1961","t","319000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1962","1962","t","319000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1963","1963","t","319000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1964","1964","t","380000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1965","1965","t","380000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1966","1966","t","337000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1967","1967","t","396000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1968","1968","t","402000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1969","1969","t","407000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1970","1970","t","366000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1971","1971","t","350000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1972","1972","t","400000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1973","1973","t","420000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1974","1974","t","420000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1975","1975","t","435000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1976","1976","t","448000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1977","1977","t","400000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1978","1978","t","428000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1979","1979","t","439000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1980","1980","t","415000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1981","1981","t","390000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1982","1982","t","364000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1983","1983","t","350000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1984","1984","t","334000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1985","1985","t","317000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1986","1986","t","336000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1987","1987","t","324000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1988","1988","t","343000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1989","1989","t","320000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1990","1990","t","333000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1991","1991","t","335000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1992","1992","t","300000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1993","1993","t","300000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1994","1994","t","342000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1995","1995","t","390000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1996","1996","t","340000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1997","1997","t","400000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1998","1998","t","450000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","1999","1999","t","280000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2000","2000","t","260000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2001","2001","t","242000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2002","2002","t","388000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2003","2003","t","434000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2004","2004","t","463000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2005","2005","t","485000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2006","2006","t","540000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2007","2007","t","552000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2008","2008","t","612000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2009","2009","t","645000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2010","2010","t","672000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2011","2011","t","672000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2012","2012","t","703000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2013","2013","t","764000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2014","2014","t","801500","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2015","2015","t","612000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2016","2016","t","532200","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2017","2017","t","505100","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2018","2018","t","525500","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2019","2019","t","570900","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2020","2020","t","655400","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2021","2021","t","622300","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2022","2022","t","592000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2023","2023","t","597000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2024","2024","t","654000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1961","1961","t","2279000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1962","1962","t","2279000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1963","1963","t","1947000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1964","1964","t","2230000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1965","1965","t","2282000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1966","1966","t","2033000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1967","1967","t","2280000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1968","1968","t","2354000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1969","1969","t","2454000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1970","1970","t","2081000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1971","1971","t","1915000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1972","1972","t","2450000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1973","1973","t","2700000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1974","1974","t","2750000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1975","1975","t","2850000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1976","1976","t","2936000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1977","1977","t","2652000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1978","1978","t","2813000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1979","1979","t","2663000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1980","1980","t","2550000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1981","1981","t","2470000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1982","1982","t","2391000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1983","1983","t","2306000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1984","1984","t","2194000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1985","1985","t","2081000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1986","1986","t","1925000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1987","1987","t","2300000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1988","1988","t","1900000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1989","1989","t","1800000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1990","1990","t","1650000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1991","1991","t","1726000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1992","1992","t","1650000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1993","1993","t","1940000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1994","1994","t","2050000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1995","1995","t","2100000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1996","1996","t","2300000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1997","1997","t","2711000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1998","1998","t","2834000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","1999","1999","t","2499000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2000","2000","t","1469000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2001","2001","t","1597000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2002","2002","t","2686000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2003","2003","t","3480000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2004","2004","t","2390000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2005","2005","t","4266000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2006","2006","t","3363000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2007","2007","t","4484000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2008","2008","t","2623000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2009","2009","t","5064000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2010","2010","t","4532000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2011","2011","t","3388000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2012","2012","t","5050000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2013","2013","t","5169235","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2014","2014","t","5370259","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2015","2015","t","4673040","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2016","2016","t","4555110","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2017","2017","t","4280776","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2018","2018","t","3613300","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2019","2019","t","4890000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2020","2020","t","5185000","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2021","2021","t","4017657","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3802895","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2023","2023","t","4350662","A","Official value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2024","2024","t","5200000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1961","1961","t","10150000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1962","1962","t","11250000","E","Estimated value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1963","1963","t","12171000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1964","1964","t","11600000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1965","1965","t","11164000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1966","1966","t","13500000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1967","1967","t","11198000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1968","1968","t","12410000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1969","1969","t","13410000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1970","1970","t","13850000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1971","1971","t","13744000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1972","1972","t","12413000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1973","1973","t","14899000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1974","1974","t","13386000","A","Official value",""
"QCL","Crops and livestock products","764","Thailand","5510","Production","0113","Rice","1975","1975","t","15300000","A","Official value",""
