Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","835003","A","Official value"
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2017","2017","t","597759","A","Official value"
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2018","2018","t","565330","A","Official value"
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","387247","A","Official value"
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2020","2020","t","537687","A","Official value"
"TM","Detailed trade matrix","032","Argentina","764","Thailand","5910","Export quantity","0111","Wheat","2021","2021","t","132695","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1989","1989","t","1100","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1990","1990","t","2300","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","5000","A","Official value"
"TM","Detailed trade matrix","036","Australia","004","Afghanistan","5910","Export quantity","0111","Wheat","1997","1997","t","2309","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","1992","1992","t","2","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","1994","1994","t","27","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","2008","2008","t","158","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","2009","2009","t","136","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","2012","2012","t","40","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","2023","2023","t","20.28","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0113","Rice","2024","2024","t","40.54","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1986","1986","t","49562","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1987","1987","t","38921","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1988","1988","t","49319","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1989","1989","t","85956","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1990","1990","t","27209","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1991","1991","t","77144","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1996","1996","t","198841","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1997","1997","t","246912","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1998","1998","t","334309","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","1999","1999","t","284486","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2000","2000","t","246355","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2001","2001","t","257923","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2002","2002","t","269715","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2003","2003","t","382202","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2004","2004","t","337856","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2005","2005","t","574226","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2006","2006","t","417279","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2007","2007","t","117549","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2008","2008","t","277051","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2009","2009","t","380735","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2010","2010","t","478288","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2011","2011","t","637002","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2012","2012","t","1292273","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2013","2013","t","379093","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2014","2014","t","456015.83","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2015","2015","t","472923.63","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","407713.05","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2017","2017","t","520267.73","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2018","2018","t","350474.34","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2019","2019","t","461607","A","Official value"
