year,production,imports,exports,supply,idr,ssr,risk_internal,risk_external,n_partners,top_partner,top_partner_share,hhi_source,imports_from_matrix,import_matrix_coverage,vulnerability,kcal_commodity,kcal_total,criticality,food_security_risk
1961,2279000,32400.0,0.0,2311400.0,0.01,0.99,,,,,,,,,,,,,
1962,2279000,6800.0,0.0,2285800.0,0.0,1.0,,,,,,,,,,,,,
1963,1947000,79900.0,0.0,2026900.0,0.04,0.96,,,,,,,,,,,,,
1964,2230000,106092.0,0.0,2336092.0,0.05,0.95,,,,,,,,,,,,,
1965,2282000,107000.0,0.0,2389000.0,0.04,0.96,0.07,,,,,,,,,,,,
1966,2033000,118838.0,0.0,2151838.0,0.06,0.94,0.07,,,,,,,,,,,,
1967,2280000,140082.0,0.0,2420082.0,0.06,0.94,0.06,,,,,,,,,,,,
1968,2354000,60000.0,0.0,2414000.0,0.02,0.98,0.06,,,,,,,,,,,,
1969,2454000,87800.0,0.0,2541800.0,0.03,0.97,0.07,,,,,,,,,,,,
1970,2081000,30000.0,0.0,2111000.0,0.01,0.99,0.07,,,,,,,,,,,,
1971,1915000,185000.0,0.0,2100000.0,0.09,0.91,0.08,,,,,,,,,,,,
1972,2450000,170000.0,0.0,2620000.0,0.06,0.94,0.09,,,,,,,,,,,,
1973,2700000,18000.0,0.0,2718000.0,0.01,0.99,0.1,,,,,,,,,,,,
1974,2750000,5000.0,0.0,2755000.0,0.0,1.0,0.12,,,,,,,,,,,,
1975,2850000,12500.0,0.0,2862500.0,0.0,1.0,0.13,,,,,,,,,,,,
1976,2936000,9000.0,0.0,2945000.0,0.0,1.0,0.13,,,,,,,,,,,,
1977,2652000,45359.0,0.0,2697359.0,0.02,0.98,0.13,,,,,,,,,,,,
1978,2813000,50000.0,0.0,2863000.0,0.02,0.98,0.13,,,,,,,,,,,,
1979,2663000,150000.0,0.0,2813000.0,0.05,0.95,0.13,,,,,,,,,,,,
1980,2550000,3600.0,0.0,2553600.0,0.0,1.0,0.11,,,,,,,,,,,,
1981,2470000,78500.0,0.0,2548500.0,0.03,0.97,0.06,,,,,,,,,,,,
1982,2391000,72900.0,0.0,2463900.0,0.03,0.97,0.06,,,,,,,,,,,,
1983,2306000,69503.0,0.0,2375503.0,0.03,0.97,0.08,,,,,,,,,,,,
1984,2194000,21150.0,0.0,2215150.0,0.01,0.99,0.09,,,,,,,,,,,,
1985,2081000,51062.0,0.0,2132062.0,0.02,0.98,0.11,,,,,,,,,,,,
1986,1925000,57146.0,0.0,1982146.0,0.03,0.97,0.12,,1.0,USSR,1.0,mirror (rejected),81955.0,1.43,,,,,
1987,2300000,220000.0,0.0,2520000.0,0.09,0.91,0.11,,1.0,USSR,1.0,mirror (rejected),12850.0,0.06,,,,,
1988,1900000,205000.0,0.0,2105000.0,0.1,0.9,0.11,,,,,,,,,,,,
1989,1800000,210000.0,0.0,2010000.0,0.1,0.9,0.12,,2.0,Finland,0.57,mirror (rejected),2540.0,0.01,,,,,
1990,1650000,200000.0,0.0,1850000.0,0.11,0.89,0.13,,3.0,Australia,0.42,mirror (rejected),5440.0,0.03,,,,,
1991,1726000,122000.0,0.0,1848000.0,0.07,0.93,0.13,,4.0,Canada,0.47,mirror (rejected),16560.0,0.14,,,,,
1992,1650000,70000.0,0.0,1720000.0,0.04,0.96,0.13,,4.0,Hungary,0.45,mirror (rejected),29075.0,0.42,,,,,
1993,1940000,170000.0,0.0,2110000.0,0.08,0.92,0.12,,3.0,United States of America,0.82,mirror (rejected),60993.0,0.36,,,,,
1994,2050000,65500.0,0.0,2115500.0,0.03,0.97,0.11,,1.0,France,1.0,mirror (rejected),14000.0,0.21,,,,,
1995,2100000,101000.0,0.0,2201000.0,0.05,0.95,0.11,0.33,6.0,Canada,0.45,mirror,67234.0,0.67,0.12,,,,
1996,2300000,120000.0,0.0,2420000.0,0.05,0.95,0.13,0.25,7.0,United States of America,0.41,mirror,98225.0,0.82,0.13,,,,
1997,2711000,140000.0,0.0,2851000.0,0.05,0.95,0.17,,4.0,United States of America,0.52,mirror (rejected),57185.0,0.41,,,,,
1998,2834000,70000.0,0.0,2904000.0,0.02,0.98,0.2,,4.0,Kazakhstan,0.59,mirror (rejected),33314.0,0.48,,,,,
1999,2499000,165000.0,0.0,2664000.0,0.06,0.94,0.2,,3.0,Kazakhstan,0.53,mirror (rejected),73452.0,0.45,,,,,
2000,1469000,783000.0,0.0,2252000.0,0.35,0.65,0.21,0.78,5.0,Kazakhstan,0.88,mirror,555950.0,0.71,0.41,,,,
2001,1597000,720000.0,0.0,2317000.0,0.31,0.69,0.22,,6.0,Kazakhstan,0.56,mirror (rejected),181911.0,0.25,,,,,
2002,2686000,440000.0,0.0,3126000.0,0.14,0.86,0.21,,6.0,Kazakhstan,0.7,mirror (rejected),181320.0,0.41,,,,,
2003,3480000,211600.0,0.0,3691600.0,0.06,0.94,0.25,,7.0,Kazakhstan,0.45,mirror (rejected),37103.0,0.18,,,,,
2004,2390000,200389.0,0.0,2590389.0,0.08,0.92,0.25,,4.0,United States of America,0.51,mirror (rejected),45671.0,0.23,,,,,
2005,4266000,245950.0,0.0,4511950.0,0.05,0.95,0.31,,3.0,United States of America,0.59,mirror (rejected),126590.0,0.51,,,,,
2006,3363000,206827.0,0.0,3569827.0,0.06,0.94,0.31,,4.0,United States of America,0.67,mirror (rejected),99998.0,0.48,,,,,
2007,4484000,273188.0,0.0,4757188.0,0.06,0.94,0.35,,4.0,United States of America,0.55,mirror (rejected),122185.0,0.45,,,,,
2008,2623000,695629.0,0.0,3318629.0,0.21,0.79,0.35,0.49,7.0,Kazakhstan,0.68,mirror,454403.0,0.65,0.38,,,,
2009,5064000,637957.0,0.0,5701957.0,0.11,0.89,0.38,0.45,6.0,Kazakhstan,0.61,mirror,519458.0,0.81,0.39,,,,
2010,4532000,206145.0,0.0,4738145.0,0.04,0.96,0.33,,6.0,United States of America,0.89,mirror (rejected),51614.0,0.25,,1464.44,2200.21,0.67,
2011,3388000,220428.0,0.0,3608428.0,0.06,0.94,0.25,0.42,5.0,Kazakhstan,0.54,mirror,152801.0,0.69,0.26,1402.32,2171.86,0.65,0.17
2012,5050000,204801.0,0.0,5254801.0,0.04,0.96,0.25,0.3,5.0,Kazakhstan,0.39,mirror,139601.0,0.68,0.25,1354.8,2165.88,0.63,0.16
2013,5169235,222974.0,0.0,5392209.0,0.04,0.96,0.25,0.51,3.0,India,0.68,mirror,188800.0,0.85,0.26,1386.99,2205.33,0.63,0.17
2014,5370259,78730.0,0.0,5448989.0,0.01,0.99,0.21,0.38,5.0,Kazakhstan,0.46,mirror,78730.48,1.0,0.22,1359.69,2270.45,0.6,0.13
2015,4673040,176538.59,0.0,4849578.59,0.04,0.96,0.21,0.66,4.0,Kazakhstan,0.8,mirror,176538.59,1.0,0.23,1368.51,2251.27,0.61,0.14
2016,4555110,258472.69,0.01,4813582.68,0.05,0.95,0.19,0.96,2.0,Kazakhstan,0.98,mirror,258472.69,1.0,0.23,1399.99,2240.71,0.62,0.15
2017,4280776,728124.0,0.0,5008900.0,0.15,0.85,0.19,0.35,4.0,Kazakhstan,0.44,self-reported,728124.89,1.0,0.22,1403.33,2307.21,0.61,0.13
2018,3613300,692468.0,0.0,4305768.0,0.16,0.84,0.14,0.56,5.0,Kazakhstan,0.72,mirror,536647.89,0.77,0.21,1363.25,2261.79,0.6,0.13
2019,4890000,457458.88,0.0,5347458.88,0.09,0.91,0.14,0.47,4.0,Kazakhstan,0.63,self-reported,457458.88,1.0,0.17,1343.85,2223.1,0.6,0.1
2020,5185000,598254.11,20.68,5783233.43,0.1,0.9,0.15,0.79,5.0,Kazakhstan,0.88,mirror,598254.11,1.0,0.21,1348.16,2259.95,0.6,0.13
2021,4017657,575749.94,0.0,4593406.94,0.13,0.87,0.12,0.98,5.0,Kazakhstan,0.99,mirror,575749.94,1.0,0.23,1304.01,2244.73,0.58,0.13
2022,3802895,733011.93,0.0,4535906.93,0.16,0.84,0.13,0.88,5.0,Kazakhstan,0.94,mirror,733011.92,1.0,0.26,1340.03,2268.63,0.59,0.15
2023,4350662,482890.19,0.01,4833552.18,0.1,0.9,0.13,0.87,2.0,Kazakhstan,0.93,mirror,482890.19,1.0,0.2,1369.98,2314.63,0.59,0.12
2024,5200000,274399.39,2718.04,5471681.35,0.05,0.95,0.12,0.85,2.0,Kazakhstan,0.92,mirror,274399.39,1.0,0.16,,,,
