country,commodity,year,production (P),imports (I),exports (E),supply (P + I - E),ssr (P / Supply),idr (I / Supply),w_internal (P / (P + I)),w_external (I / (P + I)),risk_internal (std(P) / mean(P)),risk_external (sum(si^2)),criticality (Kcal_commodity / Kcal_total),vulnerability_weighted (W_internal x Risk_internal + W_external x Risk_external),vulnerability_ssr_idr (SSR x Risk_internal + IDR x Risk_external),food_risk_weighted (Vulnerability_weighted x Criticality),food_risk_ssr_idr (Vulnerability_ssr_idr x Criticality),top_supplier (biggest supplier by tracked volume),top_supplier_share (s_max = Volume_max / Volume_trade),shock_exposure (W_external x s_max x Shock_magnitude)
Afghanistan,Wheat,2020,5185000.0,598254.11,20.68,5783233.43,0.9,0.1,0.9,0.1,0.13,0.79,0.6,0.2,0.2,0.12,0.12,Kazakhstan,0.88,0.09
Afghanistan,Wheat,2021,4017657.0,575749.94,0.0,4593406.94,0.87,0.13,0.87,0.13,0.15,0.98,0.58,0.25,0.25,0.15,0.15,Kazakhstan,0.99,0.12
Afghanistan,Wheat,2022,3802895.0,733011.93,0.0,4535906.93,0.84,0.16,0.84,0.16,0.16,0.88,0.59,0.28,0.28,0.16,0.16,Kazakhstan,0.94,0.15
Afghanistan,Wheat,2023,4350662.0,482890.19,0.01,4833552.18,0.9,0.1,0.9,0.1,0.13,0.87,0.59,0.2,0.2,0.12,0.12,Kazakhstan,0.93,0.09
Afghanistan,Wheat,2024,5200000.0,274399.39,2718.04,5471681.35,0.95,0.05,0.95,0.05,0.14,0.85,0.59,0.18,0.18,0.11,0.11,Kazakhstan,0.92,0.05
Afghanistan,Wheat,AVERAGES,,,,,0.89,0.11,0.89,0.11,0.14,0.87,0.59,0.22,0.22,0.13,0.13,,0.93,0.1
,,,,,,,,,,,,,,,,,,,,
Egypt,Wheat,2020,9101785.0,8969215.42,8.26,18070992.16,0.5,0.5,0.5,0.5,0.05,0.45,0.34,0.25,0.25,0.08,0.08,Russian Federation,0.62,0.31
Egypt,Wheat,2021,9842410.95,6641408.73,5.61,16483814.07,0.6,0.4,0.6,0.4,0.07,0.34,0.33,0.18,0.18,0.06,0.06,Russian Federation,0.48,0.19
Egypt,Wheat,2022,9622993.0,8010426.68,0.87,17633418.81,0.55,0.45,0.55,0.45,0.07,0.22,0.34,0.14,0.14,0.05,0.05,Romania,0.29,0.13
Egypt,Wheat,2023,9065380.0,8162036.72,2643.6,17224773.12,0.53,0.47,0.53,0.47,0.05,0.27,0.34,0.16,0.16,0.05,0.05,Ukraine,0.37,0.18
Egypt,Wheat,2024,9400000.0,13095852.18,1313.46,22494538.72,0.42,0.58,0.42,0.58,0.04,0.35,0.34,0.22,0.22,0.07,0.07,Ukraine,0.52,0.3
Egypt,Wheat,AVERAGES,,,,,0.52,0.48,0.52,0.48,0.04,0.33,0.34,0.18,0.18,0.06,0.06,,0.46,0.22
,,,,,,,,,,,,,,,,,,,,
Qatar,Wheat,2020,2.3,121918.57,0.0,121920.87,0.0,1.0,0.0,1.0,0.85,0.26,0.19,0.26,0.26,0.05,0.05,Russian Federation,0.4,0.4
Qatar,Wheat,2021,252.0,188862.95,0.0,189114.95,0.0,1.0,0.0,1.0,1.9,0.55,0.2,0.55,0.55,0.11,0.11,India,0.67,0.66
Qatar,Wheat,2022,0.9,83582.2,44.0,83539.1,0.0,1.0,0.0,1.0,2.04,0.35,0.18,0.35,0.35,0.06,0.06,India,0.39,0.39
Qatar,Wheat,2023,2.4,21002.0,0.0,21004.4,0.0,1.0,0.0,1.0,2.16,0.49,0.2,0.49,0.49,0.1,0.1,Romania,0.5,0.5
Qatar,Wheat,2024,21.0,103211.0,0.0,103232.0,0.0,1.0,0.0,1.0,1.97,0.69,0.2,0.69,0.69,0.14,0.14,Australia,0.81,0.81
Qatar,Wheat,AVERAGES,,,,,0.0,1.0,0.0,1.0,1.97,0.47,0.2,0.47,0.47,0.09,0.09,,0.55,0.55
,,,,,,,,,,,,,,,,,,,,
Singapore,Wheat,2020,0.0,238736.59,28.94,238707.65,0.0,1.0,0.0,1.0,0.0,0.35,0.18,0.35,0.35,0.06,0.06,Australia,0.5,0.5
Singapore,Wheat,2021,0.0,198371.68,11.12,198360.56,0.0,1.0,0.0,1.0,0.0,0.43,0.18,0.43,0.43,0.08,0.08,Australia,0.57,0.57
Singapore,Wheat,2022,0.0,171430.79,9.67,171421.12,0.0,1.0,0.0,1.0,0.0,0.31,0.18,0.31,0.31,0.06,0.06,Australia,0.43,0.43
Singapore,Wheat,2023,0.0,201560.78,16.47,201544.31,0.0,1.0,0.0,1.0,0.0,0.29,0.18,0.29,0.29,0.05,0.05,Australia,0.43,0.43
Singapore,Wheat,2024,0.0,189419.16,28.56,189390.6,0.0,1.0,0.0,1.0,0.0,0.35,0.18,0.35,0.35,0.06,0.06,Australia,0.51,0.51
Singapore,Wheat,AVERAGES,,,,,0.0,1.0,0.0,1.0,0.0,0.35,0.18,0.35,0.35,0.06,0.06,,0.49,0.49
,,,,,,,,,,,,,,,,,,,,
Somalia,Wheat,2020,1057.13,75413.52,0.0,76470.65,0.01,0.99,0.01,0.99,0.01,0.44,0.4,0.44,0.44,0.17,0.17,Ukraine,0.53,0.52
Somalia,Wheat,2021,1060.02,73265.06,38.59,74286.49,0.01,0.99,0.01,0.99,0.01,0.42,0.4,0.41,0.41,0.17,0.17,Russian Federation,0.48,0.48
Somalia,Wheat,2022,1056.42,133873.01,0.0,134929.43,0.01,0.99,0.01,0.99,0.0,0.5,0.4,0.5,0.5,0.2,0.2,Ukraine,0.63,0.62
Somalia,Wheat,2023,1059.86,2215.41,0.0,3275.27,0.32,0.68,0.32,0.68,0.0,0.65,0.4,0.44,0.44,0.18,0.18,United Arab Emirates,0.77,0.52
Somalia,Wheat,2024,1063.3,4586.0,0.0,5649.3,0.19,0.81,0.19,0.81,0.0,1.0,0.4,0.81,0.81,0.32,0.32,Egypt,1.0,0.81
Somalia,Wheat,AVERAGES,,,,,0.11,0.89,0.11,0.89,0.0,0.6,0.4,0.54,0.54,0.21,0.21,,0.68,0.61
,,,,,,,,,,,,,,,,,,,,
Sudan,Wheat,2020,717578.0,2429207.55,0.0,3146785.55,0.23,0.77,0.23,0.77,0.2,0.34,0.35,0.31,0.31,0.11,0.11,Russian Federation,0.55,0.42
Sudan,Wheat,2021,676380.0,1857269.94,0.0,2533649.94,0.27,0.73,0.27,0.73,0.17,0.23,0.35,0.21,0.21,0.08,0.08,Russian Federation,0.37,0.27
Sudan,Wheat,2022,476270.0,1440309.56,0.0,1916579.56,0.25,0.75,0.25,0.75,0.16,0.25,0.35,0.23,0.23,0.08,0.08,Australia,0.41,0.31
Sudan,Wheat,2023,377900.0,331998.54,0.0,709898.54,0.53,0.47,0.53,0.47,0.27,0.35,0.35,0.31,0.31,0.11,0.11,Canada,0.42,0.19
Sudan,Wheat,2024,490320.0,93730.0,0.0,584050.0,0.84,0.16,0.84,0.16,0.26,1.0,0.35,0.38,0.38,0.13,0.13,Romania,1.0,0.16
Sudan,Wheat,AVERAGES,,,,,0.42,0.58,0.42,0.58,0.26,0.44,0.35,0.36,0.36,0.13,0.13,,0.55,0.32
,,,,,,,,,,,,,,,,,,,,
Tunisia,Wheat,2020,1042000.0,2237133.82,60.0,3279073.82,0.32,0.68,0.32,0.68,0.18,0.29,0.43,0.26,0.26,0.11,0.11,Ukraine,0.49,0.34
Tunisia,Wheat,2021,1193000.0,1890731.5,0.0,3083731.5,0.39,0.61,0.39,0.61,0.14,0.22,0.44,0.19,0.19,0.08,0.08,Ukraine,0.38,0.23
Tunisia,Wheat,2022,1135000.0,1891272.25,150.0,3026122.25,0.38,0.62,0.38,0.62,0.14,0.15,0.43,0.15,0.15,0.06,0.06,Bulgaria,0.27,0.17
Tunisia,Wheat,2023,470000.0,2028923.1,0.0,2498923.1,0.19,0.81,0.19,0.81,0.34,0.12,0.43,0.17,0.17,0.07,0.07,Bulgaria,0.26,0.21
Tunisia,Wheat,2024,1150000.0,1397090.5,0.05,2547090.45,0.45,0.55,0.45,0.55,0.3,0.39,0.43,0.35,0.35,0.15,0.15,Ukraine,0.61,0.33
Tunisia,Wheat,AVERAGES,,,,,0.34,0.66,0.34,0.66,0.3,0.24,0.43,0.26,0.26,0.11,0.11,,0.4,0.26
,,,,,,,,,,,,,,,,,,,,
Yemen,Wheat,2020,130000.0,3044898.12,231.0,3174667.12,0.04,0.96,0.04,0.96,0.15,0.23,0.41,0.23,0.23,0.09,0.09,United States of America,0.28,0.27
Yemen,Wheat,2021,115943.92,3065072.1,783.16,3180232.86,0.04,0.96,0.04,0.96,0.15,0.21,0.41,0.21,0.21,0.09,0.09,Australia,0.28,0.27
Yemen,Wheat,2022,100000.0,2853322.95,75.56,2953247.39,0.03,0.97,0.03,0.97,0.14,0.22,0.41,0.22,0.22,0.09,0.09,Australia,0.34,0.33
Yemen,Wheat,2023,100000.0,1907403.23,100.92,2007302.31,0.05,0.95,0.05,0.95,0.12,0.54,0.32,0.52,0.52,0.17,0.17,Australia,0.71,0.67
Yemen,Wheat,2024,98000.0,2195225.6,0.0,2293225.6,0.04,0.96,0.04,0.96,0.13,0.56,0.32,0.54,0.54,0.18,0.18,Australia,0.72,0.69
Yemen,Wheat,AVERAGES,,,,,0.04,0.96,0.04,0.96,0.13,0.35,0.38,0.34,0.34,0.13,0.13,,0.47,0.45
,,,,,,,,,,,,,,,,,,,,
