year,production,imports,exports,supply,idr,ssr
2010,4532000,206145.0,0.0,4738145.0,0.04,0.96
2011,3388000,220428.0,0.0,3608428.0,0.06,0.94
2012,5050000,204801.0,0.0,5254801.0,0.04,0.96
2013,5169235,222974.0,0.0,5392209.0,0.04,0.96
2014,5370259,78730.0,0.0,5448989.0,0.01,0.99
2015,4673040,176538.59,0.0,4849578.59,0.04,0.96
2016,4555110,258472.69,0.01,4813582.68,0.05,0.95
2017,4280776,728124.0,0.0,5008900.0,0.15,0.85
2018,3613300,692468.0,0.0,4305768.0,0.16,0.84
2019,4890000,457458.88,0.0,5347458.88,0.09,0.91
2020,5185000,598254.11,20.68,5783233.43,0.1,0.9
2021,4017657,575749.94,0.0,4593406.94,0.13,0.87
2022,3802895,733011.93,0.0,4535906.93,0.16,0.84
2023,4350662,482890.19,0.01,4833552.18,0.1,0.9
2024,5200000,274399.39,2718.04,5471681.35,0.05,0.95
