year,risk_external,n_partners,top_partner,top_partner_share,hhi_source,imports_from_matrix,import_matrix_coverage
1986,,1,USSR,1.0,mirror (rejected),81955.0,1.43
1987,,1,USSR,1.0,mirror (rejected),12850.0,0.06
1989,,2,Finland,0.57,mirror (rejected),2540.0,0.01
1990,,3,Australia,0.42,mirror (rejected),5440.0,0.03
1991,,4,Canada,0.47,mirror (rejected),16560.0,0.14
1992,,4,Hungary,0.45,mirror (rejected),29075.0,0.42
1993,,3,United States of America,0.82,mirror (rejected),60993.0,0.36
1994,,1,France,1.0,mirror (rejected),14000.0,0.21
1995,0.33,6,Canada,0.45,mirror,67234.0,0.67
1996,0.25,7,United States of America,0.41,mirror,98225.0,0.82
1997,,4,United States of America,0.52,mirror (rejected),57185.0,0.41
1998,,4,Kazakhstan,0.59,mirror (rejected),33314.0,0.48
1999,,3,Kazakhstan,0.53,mirror (rejected),73452.0,0.45
2000,0.78,5,Kazakhstan,0.88,mirror,555950.0,0.71
2001,,6,Kazakhstan,0.56,mirror (rejected),181911.0,0.25
2002,,6,Kazakhstan,0.7,mirror (rejected),181320.0,0.41
2003,,7,Kazakhstan,0.45,mirror (rejected),37103.0,0.18
2004,,4,United States of America,0.51,mirror (rejected),45671.0,0.23
2005,,3,United States of America,0.59,mirror (rejected),126590.0,0.51
2006,,4,United States of America,0.67,mirror (rejected),99998.0,0.48
2007,,4,United States of America,0.55,mirror (rejected),122185.0,0.45
2008,0.49,7,Kazakhstan,0.68,mirror,454403.0,0.65
2009,0.45,6,Kazakhstan,0.61,mirror,519458.0,0.81
2010,,6,United States of America,0.89,mirror (rejected),51614.0,0.25
2011,0.42,5,Kazakhstan,0.54,mirror,152801.0,0.69
2012,0.3,5,Kazakhstan,0.39,mirror,139601.0,0.68
2013,0.51,3,India,0.68,mirror,188800.0,0.85
2014,0.38,5,Kazakhstan,0.46,mirror,78730.48,1.0
2015,0.66,4,Kazakhstan,0.8,mirror,176538.59,1.0
2016,0.96,2,Kazakhstan,0.98,mirror,258472.69,1.0
2017,0.35,4,Kazakhstan,0.44,self-reported,728124.89,1.0
2018,0.56,5,Kazakhstan,0.72,mirror,536647.89,0.77
2019,0.47,4,Kazakhstan,0.63,self-reported,457458.88,1.0
2020,0.79,5,Kazakhstan,0.88,mirror,598254.11,1.0
2021,0.98,5,Kazakhstan,0.99,mirror,575749.94,1.0
2022,0.88,5,Kazakhstan,0.94,mirror,733011.92,1.0
2023,0.87,2,Kazakhstan,0.93,mirror,482890.19,1.0
2024,0.85,2,Kazakhstan,0.92,mirror,274399.39,1.0
